2,18.616,53.807,63.129,70.360,76.629,84.346,92.493,108.224
4,36.096,94.324,102.266,126.491,111.742,147.336,149.856,157.633
6,46.986,127.770,174.639,141.742,140.499,164.515,179.293,202.842
8,56.768,160.976,175.460,182.920,167.892,193.051,183.078,220.151
10,48.304,220.132,225.029,175.010,234.651,213.238,221.689,224.726
12,49.500,224.108,233.297,200.661,203.800,244.199,263.286,261.226
14,88.561,254.069,256.425,221.337,220.556,239.396,225.310,271.054
16,88.100,258.537,259.339,225.789,229.534,227.892,233.110,251.472
18,96.987,285.142,317.308,210.733,291.127,231.321,249.111,269.051
20,77.477,332.628,302.832,225.010,247.512,261.195,253.864,296.802
22,108.625,314.560,316.540,254.860,234.025,247.178,262.304,252.015
24,108.203,334.708,335.168,240.161,273.842,265.856,252.763,276.365
26,87.423,348.009,339.380,299.736,266.372,296.199,247.287,279.913
28,129.375,379.051,391.834,249.784,246.713,298.691,255.057,285.735
30,136.380,389.953,396.567,280.236,284.077,282.482,275.657,316.214
32,88.689,390.579,377.999,290.984,254.141,263.376,263.783,280.977
34,107.234,414.957,475.216,254.667,271.659,258.442,287.225,279.254
36,97.618,399.432,388.631,274.617,266.224,273.144,258.060,326.312
38,137.733,402.877,380.834,306.210,257.026,282.541,265.547,277.687
40,99.569,407.904,439.300,279.961,270.485,302.516,305.232,319.594
42,148.184,552.663,412.958,297.859,262.172,281.311,298.292,297.694
44,146.442,575.576,425.181,291.263,267.311,316.853,271.932,277.904
46,99.453,443.194,427.933,288.553,293.749,289.241,272.720,307.598
48,98.243,427.580,412.989,283.450,284.767,290.984,275.085,274.801
50,99.774,455.720,459.234,285.688,290.197,265.839,283.047,285.951
52,168.593,501.155,443.548,303.739,292.750,268.475,314.724,292.817
54,99.955,466.317,495.523,274.510,296.109,306.330,302.872,290.895
56,167.325,565.199,478.940,312.046,292.830,286.333,273.029,296.560
58,159.305,546.226,463.460,303.718,281.001,305.081,276.177,304.635
60,118.267,606.477,453.691,320.221,301.202,285.244,268.369,299.823
62,167.318,541.628,472.889,309.006,279.702,288.064,292.216,302.060
64,169.090,565.839,454.412,298.160,272.454,274.642,278.616,305.789
66,168.346,553.911,465.425,294.495,272.008,290.159,276.960,353.750
68,159.396,546.988,471.318,365.875,288.602,294.321,290.867,306.942
