2,31816.429,21451.732,16273.432
4,15987.232,10806.201,8223.458
6,10969.476,8159.560,5563.514
8,8144.207,5522.161,4236.713
10,6622.413,5507.596,3418.799
12,5627.189,4200.694,2892.575
14,5067.084,4189.615,2504.108
16,4180.733,2842.279,2209.254
18,4050.842,2833.678,1978.085
20,3588.237,2826.860,1794.735
22,3143.687,2828.598,1650.701
24,3074.837,2824.277,1542.961
26,2680.588,2846.512,1443.805
28,2634.886,2844.610,1360.504
30,2589.708,2833.734,1283.990
32,2238.072,1555.776,1224.849
34,2201.101,1547.008,1169.446
36,2174.704,1553.768,1118.592
38,2149.770,1547.775,1076.213
40,2129.623,1554.344,1040.226
42,2104.190,1547.125,1009.451
44,1770.930,1554.400,982.110
46,1746.166,1546.041,956.866
48,1736.205,1553.287,932.537
50,1719.460,1544.193,909.784
52,1711.732,1551.980,895.057
54,1697.668,1546.523,873.577
56,1691.668,1545.767,859.909
58,1681.253,1541.766,849.291
60,1671.874,1543.160,831.508
62,1663.102,1538.710,819.045
64,1330.946,1536.345,804.168
66,1319.399,1535.674,791.619
68,1314.980,1535.480,784.550
