2,31566.256,212.312,199.289,88.224,773.266,882.292,139.674,20.871
4,15977.855,121.011,115.982,51.409,403.840,439.033,78.169,16.633
6,10883.540,90.075,85.282,38.985,278.318,299.448,57.993,15.541
8,8135.111,75.177,70.012,32.491,215.973,229.859,48.490,14.598
10,6622.380,65.321,60.278,28.336,178.207,187.984,42.250,14.243
12,5605.512,59.825,53.918,25.896,152.096,160.811,38.100,14.398
14,5064.486,56.131,49.516,23.847,133.516,139.295,35.230,13.962
16,4184.040,55.513,46.295,23.283,119.580,124.507,33.539,13.791
18,4050.427,54.771,43.270,23.034,108.055,112.109,31.696,13.542
20,3589.153,54.604,41.038,22.789,99.167,102.531,30.027,13.398
22,3145.698,54.029,39.378,22.667,91.559,94.656,28.719,13.260
24,3077.265,53.521,36.765,22.366,85.021,87.967,27.445,12.961
26,2659.406,54.634,36.113,22.937,80.615,82.686,27.131,13.698
28,2613.011,54.248,34.813,22.932,76.125,78.586,26.155,13.400
30,2567.689,54.314,33.704,22.822,72.254,74.115,25.769,13.654
32,2218.037,53.800,32.854,22.632,69.017,70.785,24.803,13.316
34,2178.642,55.059,31.860,22.587,65.790,66.948,24.045,13.010
36,2153.452,53.796,31.535,22.620,63.872,65.296,23.665,13.126
38,2126.708,53.975,30.907,22.576,62.105,62.727,23.402,13.240
40,2108.780,53.437,30.255,22.405,60.180,60.557,22.738,12.948
42,2083.585,55.168,30.648,22.720,59.135,59.120,23.027,14.045
44,1752.539,53.501,29.673,22.521,57.685,56.351,22.145,12.992
46,1729.133,54.379,30.008,22.762,57.016,55.306,22.086,13.347
48,1718.753,53.743,29.545,22.861,56.168,53.869,21.661,13.276
50,1703.327,53.339,29.575,22.643,55.513,52.803,21.417,13.078
52,1695.251,54.102,29.421,22.851,55.432,51.755,21.519,13.411
54,1679.505,53.765,29.268,22.654,54.912,50.266,21.027,13.274
56,1672.130,53.724,29.300,22.799,54.810,49.418,20.780,13.288
58,1659.968,54.348,29.576,22.783,54.676,49.107,20.350,13.285
60,1653.858,54.252,29.323,22.823,54.712,48.483,20.204,13.322
62,1642.339,53.993,28.861,22.546,54.282,47.162,19.776,12.992
64,1315.741,53.633,29.304,22.764,54.674,46.447,20.063,13.335
66,1307.959,54.757,28.820,22.524,54.403,45.716,19.876,13.241
68,1301.979,53.535,30.089,22.544,54.452,45.210,19.796,13.356
