2,335.237,895.816,345.540,900.623
4,172.999,444.973,176.191,444.910
6,119.017,301.023,121.346,300.987
8,93.152,229.545,94.361,230.052
10,77.027,187.479,78.037,187.120
12,65.889,160.452,67.369,160.008
14,59.148,139.144,59.858,139.320
16,53.076,124.661,54.302,124.269
18,48.533,112.674,49.880,112.489
20,44.846,102.609,45.934,102.387
22,42.126,95.087,42.908,94.744
24,39.874,88.872,40.348,88.398
26,37.983,83.229,38.413,82.705
28,36.004,78.596,36.739,78.586
30,33.478,73.871,34.494,73.866
32,32.130,70.147,33.279,70.093
34,31.543,67.525,32.625,67.301
36,30.484,65.128,31.705,64.798
38,29.551,62.717,30.227,62.472
40,28.579,60.196,29.594,59.790
42,27.905,58.668,28.733,58.307
44,26.934,56.938,27.790,56.182
46,26.740,55.234,27.716,55.005
48,26.145,54.045,27.089,54.084
50,25.062,52.330,26.016,52.365
52,24.904,51.363,26.196,51.146
54,24.706,49.912,25.963,49.932
56,24.315,49.190,25.515,49.413
58,23.874,49.254,24.999,49.218
60,23.468,49.202,24.785,48.739
62,23.269,47.428,24.587,47.035
64,23.058,46.166,24.174,46.018
66,22.628,45.505,23.861,45.502
68,22.701,45.278,23.940,45.214
