2,95.537,211.489,95.936,211.409
4,64.186,124.664,64.137,124.676
6,53.080,94.782,52.960,94.635
8,48.288,81.112,48.351,80.812
10,43.751,70.858,43.732,70.613
12,42.507,65.566,42.308,65.000
14,41.106,61.341,41.042,61.703
16,40.022,57.677,39.275,57.642
18,39.427,56.145,40.530,57.875
20,38.189,53.565,38.131,53.609
22,37.055,51.639,36.459,50.848
24,38.141,51.665,37.798,51.278
26,38.517,50.912,36.678,49.303
28,37.577,49.934,36.247,48.505
30,37.012,48.655,35.621,46.974
32,39.686,50.654,36.077,47.133
34,37.645,48.969,36.499,47.069
36,36.941,47.903,36.140,46.626
38,39.335,49.200,36.842,47.712
40,37.209,47.408,36.703,46.480
42,37.572,48.135,37.274,46.746
44,37.869,47.277,36.402,47.732
46,39.000,48.419,37.721,47.440
48,37.978,47.337,37.112,46.535
50,38.120,46.905,36.820,45.941
52,37.064,45.581,35.964,46.044
54,38.703,47.726,38.405,47.274
56,36.956,45.670,36.632,45.144
58,37.950,46.367,37.200,45.948
60,37.360,45.669,36.719,45.342
62,37.506,45.969,37.055,45.461
64,36.075,44.929,35.691,46.297
66,37.515,46.081,37.408,46.202
68,37.102,45.750,36.915,45.805
