2,139.614,292.461,291.380,139.423
4,78.059,191.615,215.854,78.997
6,57.702,204.803,190.439,57.710
8,47.886,158.230,154.708,47.796
10,41.377,136.029,132.572,41.565
12,37.500,122.561,118.618,37.451
14,34.942,103.179,110.619,34.873
16,32.727,95.246,95.552,32.986
18,30.819,85.309,87.580,31.010
20,29.497,80.185,79.451,29.647
22,28.428,74.328,74.127,28.493
24,26.716,69.211,70.207,26.705
26,26.024,66.275,65.023,26.109
28,25.505,63.017,63.821,25.493
30,24.652,59.825,59.682,24.538
32,23.907,57.817,57.727,23.974
34,23.810,54.648,55.471,23.822
36,23.180,52.722,52.626,23.150
38,22.208,49.372,50.043,22.527
40,21.929,48.197,47.610,22.257
42,22.006,46.436,46.927,22.076
44,21.842,45.279,45.276,21.830
46,20.838,43.325,43.296,21.114
48,20.903,42.757,42.728,20.998
50,20.545,41.016,40.789,20.587
52,20.546,39.571,39.897,20.564
54,20.330,38.945,38.414,20.422
56,20.388,37.621,37.109,20.355
58,19.978,36.732,36.016,19.746
60,19.417,35.509,35.015,19.411
62,19.325,34.990,34.347,19.346
64,19.056,33.999,33.929,19.030
66,19.032,33.766,33.600,19.068
68,18.662,31.837,32.076,18.666
