2,39770.640,360.731,47730.010,281.230
4,19918.878,192.627,23892.305,158.343
6,12962.595,132.741,16053.486,113.981
8,9570.692,135.179,11723.437,95.005
10,7776.794,105.779,9479.253,84.062
12,6647.676,90.573,7955.742,77.568
14,5971.311,81.272,7145.08,74.476
16,5007.663,75.046,5857.534,70.687
18,4854.493,67.493,5692.235,70.767
20,4317.486,68.21,4994.558,68.972
22,3804.729,69.656,4353.63,68.903
24,3703.443,71.322,4221.165,68.236
26,3154.447,73.645,3651.089,65.896
28,3097.432,75.046,3541.688,66.737
30,3027.607,77.88,3474.228,66.39
32,2634.784,92.317,2952.851,65.595
34,2550.462,92.162,2861.088,65.779
36,2514.93,88.191,2807.001,64.648
38,2428.606,74.931,2734.62,63.983
40,2415.858,72.309,2667.715,64.041
42,2363.589,70.952,2596.361,63.596
44,1955.286,68.806,2128.101,63.218
46,1942.196,67.256,2077.409,63.241
48,1893.646,65.792,2019.417,62.997
50,1867.16,64.574,1977.849,62.696
52,1836.74,64.559,1918.878,61.903
54,1806.223,65.481,1896.616,61.915
56,1785.918,65.603,1857.212,61.585
58,1759.8,65.303,1825.967,61.209
60,1739.69,66.84,1795.503,61.515
62,1720.247,64.25,1760.667,61.966
64,1351.9,62.174,1378.494,59.968
66,1324.435,61.699,1343.256,59.573
