2,25.127,64.277,79.479,90.542,97.178
4,24.798,64.412,84.227,96.415,95.737
6,24.761,63.258,67.640,61.795,66.953
8,24.916,49.918,70.165,66.450,64.391
10,24.358,65.090,67.526,62.739,67.301
12,24.982,61.393,49.552,66.445,67.006
14,25.038,66.975,68.970,67.508,52.412
16,24.853,66.302,63.011,66.815,67.552
18,25.645,65.539,66.872,65.172,67.342
20,25.219,66.705,65.867,43.441,66.642
22,25.198,66.143,67.125,66.171,67.328
24,24.947,66.652,66.562,60.968,66.979
26,25.476,51.481,57.818,67.816,68.616
28,25.126,67.048,66.750,61.832,46.961
30,25.376,59.240,64.505,62.456,66.963
32,25.230,68.592,66.211,64.380,62.634
34,25.112,67.903,65.535,66.919,68.409
36,25.434,71.027,67.744,67.929,63.847
38,25.005,43.688,62.744,64.366,69.257
40,25.657,58.505,66.628,66.194,63.829
42,24.848,71.113,59.611,48.623,67.162
44,25.440,72.041,66.387,65.115,64.887
46,25.534,73.973,67.112,59.097,67.277
48,25.690,74.142,67.474,67.425,68.385
50,25.500,75.017,68.330,59.601,68.355
52,26.042,64.995,64.177,65.087,69.457
54,25.263,76.030,67.857,63.323,66.987
56,25.617,65.878,40.696,40.407,41.945
58,26.228,76.523,69.629,66.554,63.133
60,27.569,77.383,62.762,69.548,56.513
62,28.370,78.215,70.046,69.443,62.079
64,29.644,79.790,66.093,70.156,71.471
66,34.774,86.051,76.304,72.781,77.372
68,55.722,78.970,273.991,78.064,444.745
68,54.383,73.755,277.803,76.355,461.728
68,55.712,74.696,280.026,75.716,413.444
68,49.175,156.266,224.691,108.252,374.854
68,49.294,180.205,197.536,104.545,369.115
