4,8594.370,15958.396,17399.450,14905.519,17389.495,15841.052,17365.028,16420.813,17479.483,8813.264,17435.765,9608.988,17490.096,8850.460,17657.721,8807.373,17619.924,8839.749,17605.999,18970.239,19803.241,18195.374,19847.334,17987.586,19925.197,19201.117,19997.966,10264.380,20124.091,11195.580,20166.418,10199.241,20301.597,10226.489,20363.639,10265.998,20435.543,45226.266,48273.889,44244.136,48842.784,46074.653,48895.958,45078.391,49031.162,48373.060,48967.082,47447.073,49070.003,25216.381,49139.446,24624.971,49175.464,24555.482,49129.695,8947.263,12674.496,12853.387,12762.590,12840.018,12754.488,12855.657,12843.480,12845.720,12324.528,12842.221,12678.127,12853.281,9080.862,12969.083,9020.320,12925.295,9022.593,12891.162,14869.924,15051.091,14610.652,15005.622,14761.111,15011.630,14884.780,15069.712,14915.085,15098.942,15131.820,15134.654,10427.175,15188.493,10435.244,15204.258,10445.979,15239.165,40925.571,43282.571,38758.235,41580.945,38354.238,41535.201,39102.908,41598.087,41546.781,41549.958,41207.485,41576.030,24664.746,41723.910,24628.725,41626.816,24688.053,41693.463,3876.814,11363.978,12941.397,4590.370,12928.275,11472.483,12875.805,4074.813,12959.558,3965.450,13001.613,3939.205,12898.859,3927.956,12908.896,3926.065,12915.456,3932.297,12913.310,14021.240,15011.232,13757.316,15076.816,14048.220,15113.239,5079.442,15218.307,4922.445,15245.071,4910.628,15238.257,5073.559,15377.638,4929.369,15318.769,4941.486,15353.227,38384.308,41572.038,35886.189,41553.305,35510.724,41574.026,17164.281,41700.939,17133.060,41678.883,17185.528,41752.171,17191.063,41837.919,17175.192,41791.883,17188.695,41800.373,3878.682,7460.981,7857.501,7632.700,7836.402,7601.919,7835.408,3953.960,7809.395,3931.042,7798.228,3927.402,7789.128,3940.600,7830.999,3947.197,7843.859,3943.814,7835.831,9362.993,9752.847,9197.245,9779.543,9192.029,9805.239,4979.205,9817.384,4960.148,9831.107,4963.252,9833.536,4974.644,9885.422,4980.631,9888.605,4995.974,9928.110,33232.132,34439.771,31856.897,34260.536,32517.153,34316.034,17152.811,34235.667,17150.385,34218.945,17211.771,34263.195,17215.910,34312.898,17163.972,34249.170,17122.750,34205.494
8,4481.407,8310.025,9116.860,8256.969,9094.931,8431.549,9086.200,8607.920,9099.384,4636.576,9129.482,5247.239,9106.651,4702.519,9209.008,4620.207,9197.022,4622.553,9201.413,9515.372,10583.910,10000.146,10556.480,9824.484,10587.504,9651.396,10618.628,5451.479,10633.518,6184.288,10656.385,5421.327,10773.362,5486.094,10903.706,5537.347,10992.954,23206.611,23778.314,22754.773,23821.317,22955.351,23794.493,22548.154,23727.807,21907.137,23588.682,21997.735,23625.369,12068.226,23701.368,11978.473,23762.516,11916.188,23711.636,4557.624,6628.963,6642.121,6628.848,6631.425,6624.736,6644.454,6640.195,6650.072,6480.147,6638.482,6515.643,6630.110,4641.586,6665.357,4637.772,6664.475,4643.187,6674.936,7879.150,7882.037,7881.888,7917.152,7921.620,7924.461,7961.615,7968.497,7715.700,7957.562,7859.155,7968.637,5458.093,7999.820,5525.149,8086.122,5546.622,8114.065,20275.154,21494.918,20161.785,20625.828,19998.631,20550.987,20443.083,20629.595,20141.509,20601.847,20458.022,20645.681,12007.532,20654.872,11902.483,20556.573,11920.986,20591.408,1992.931,6111.511,6627.254,2301.877,6668.806,6021.641,6621.586,2240.271,6642.029,2070.348,6650.919,2091.321,6646.754,2072.729,6682.346,2075.924,6701.423,2079.617,6694.250,7241.203,7854.107,7236.067,7887.068,7245.752,7902.403,2794.467,7986.279,2651.425,8016.694,2666.158,8031.846,2687.223,8159.811,2716.331,8232.290,2704.062,8218.648,19359.139,20712.973,18717.297,20636.082,18631.190,20497.585,9342.799,20557.295,8823.952,20543.777,8810.432,20498.458,8779.627,20531.677,8788.107,20561.844,8794.972,20575.642,1992.478,3958.358,4081.975,2744.451,4094.404,3996.904,4075.369,2091.905,4075.823,2080.751,4095.454,2086.610,4082.644,2074.168,4108.568,2073.706,4109.629,2072.364,4106.421,5111.914,5238.098,4998.985,5245.809,5117.596,5259.565,2799.038,5309.520,2718.203,5323.862,2724.412,5340.802,2707.959,5363.769,2704.941,5358.053,2696.652,5334.838,16693.567,17494.240,17183.235,17513.741,16294.812,17384.962,9480.157,17340.516,8774.985,17335.835,8772.480,17333.246,8804.294,17417.571,8789.307,17412.192,8789.582,17417.146
12,3151.905,6068.234,6433.436,5957.895,6422.793,6037.564,6427.718,6228.881,6415.184,3293.439,6467.771,3716.702,6455.617,3310.183,6536.952,3290.100,6531.073,3293.685,6530.208,7060.574,7479.415,7060.545,7532.006,7228.160,7555.740,7269.039,7543.182,3910.669,7656.394,4522.359,7723.557,3952.368,7828.659,3946.265,7827.108,3952.488,7828.888,15518.242,15934.418,15500.458,15921.085,14973.770,15757.252,15233.321,15819.981,8021.575,15639.018,10516.062,15653.292,7909.369,15750.737,7908.354,15765.693,7899.560,15743.139,3186.212,4675.243,4678.658,4657.524,4680.094,4687.076,4690.328,4672.578,4674.982,4592.115,4685.087,4662.327,4688.357,3303.237,4721.148,3304.670,4727.895,3300.169,4720.525,5608.760,5612.067,5623.791,5626.616,5633.052,5635.976,5631.517,5633.803,5606.957,5638.746,5605.390,5648.885,3919.827,5772.241,3939.008,5803.843,3938.972,5803.542,13702.037,14395.542,13650.899,13865.150,13463.802,13802.352,13558.949,13776.405,13698.873,13744.303,13718.047,13804.363,7920.884,13817.355,7898.617,13793.388,7917.509,13816.990,1381.597,4297.500,4630.641,1500.286,4694.753,4291.924,4617.783,1562.517,4705.812,1471.616,4705.240,1512.356,4708.324,1472.490,4728.429,1484.273,4737.451,1479.991,4740.665,5301.924,5582.671,5441.284,5597.882,5419.431,5612.391,2082.003,5698.342,1918.401,5724.802,1920.201,5753.651,1927.674,5804.169,1927.868,5804.155,1930.016,5800.193,13143.075,13802.187,12823.677,13751.963,12655.488,13694.799,6348.268,13734.287,5901.970,13732.780,5923.976,13748.630,5920.183,13759.007,5910.009,13756.628,5919.297,13770.801,1382.132,2788.239,2843.212,1537.029,2861.973,2753.602,2838.955,1492.529,2853.901,1489.216,2855.654,1491.429,2854.011,1473.622,2892.405,1461.085,2882.221,1466.103,2884.565,3716.521,3769.129,3710.205,3791.505,3681.571,3787.003,1989.286,3817.689,1949.774,3775.417,1969.846,3800.896,1945.576,3833.792,1937.785,3828.497,1926.492,3799.208,11250.743,11763.672,11424.277,11753.622,11549.388,11769.321,6140.048,11640.987,5857.594,11653.346,5852.560,11641.984,5852.930,11678.270,5855.325,11684.994,5870.848,11703.511
16,2299.878,4492.303,4721.845,2849.352,4722.327,4522.824,4708.182,4563.329,4707.743,2445.303,4773.485,2717.544,4750.865,2438.285,4824.251,2438.337,4828.435,2438.853,4827.450,5108.088,5385.158,5200.136,5406.653,5229.511,5451.173,5326.627,5520.422,2875.837,5606.857,3330.287,5647.359,2895.963,5715.901,2883.602,5711.692,2884.438,5710.617,10690.630,11055.984,10546.885,11060.036,10484.407,11001.187,10653.286,10936.785,5617.319,10898.290,7333.925,10878.226,5560.662,11006.491,5509.076,10983.360,5488.273,10955.641,2326.843,3622.186,3624.530,3595.991,3622.339,3626.446,3629.196,3624.004,3626.559,3556.232,3622.098,3586.964,3624.117,2439.233,3666.789,2440.925,3663.551,2437.213,3667.529,4189.167,4209.570,4218.261,4221.171,4249.557,4251.846,4273.652,4281.182,4206.827,4309.542,4285.147,4325.307,2890.847,4383.097,2876.047,4370.396,2879.507,4374.237,10115.903,10604.421,10013.103,10089.521,10023.145,10124.381,9951.701,10077.712,9896.974,9997.366,9903.351,10003.727,5484.082,10011.885,5501.597,10032.596,5505.269,10037.207,1174.413,3461.332,3568.564,1300.336,3638.792,3303.969,3561.598,1364.327,3641.533,1277.077,3647.996,1282.782,3653.242,1278.385,3674.076,1272.816,3677.429,1276.189,3668.729,4079.122,4196.177,4070.208,4214.122,4083.198,4231.314,1665.857,4345.544,1619.587,4376.434,1625.377,4409.821,1641.462,4459.467,1621.714,4440.432,1614.438,4434.423,9511.908,10056.644,9326.912,9980.956,9592.927,9971.818,4799.481,10006.289,4588.749,9992.000,4593.236,9988.057,4620.698,10024.482,4590.141,10029.358,4593.085,10047.265,1176.186,2381.674,2431.588,1301.718,2461.630,2368.241,2431.664,1277.098,2450.073,1271.168,2459.765,1262.058,2446.121,1265.942,2480.047,1257.186,2472.656,1259.256,2474.766,2998.840,3074.802,2990.635,3066.687,3040.211,3060.502,1692.785,3085.146,1657.528,3089.213,1633.222,3083.509,1618.802,3109.359,1618.278,3112.082,1622.566,3115.062,8811.563,9091.780,8623.574,9064.527,8638.040,9055.773,4810.083,9054.857,4599.985,9049.546,4562.524,9056.114,4572.569,9068.649,4559.407,9054.874,4557.566,9051.247
20,1860.096,3727.172,3835.153,2119.582,3847.606,3674.281,3817.064,3692.731,3823.037,1997.153,3881.123,2256.966,3870.512,1994.795,3936.070,2004.628,3958.021,2009.710,3965.073,4341.038,4492.086,4363.640,4535.723,4389.823,4550.845,4458.505,4553.080,2366.990,4602.734,2743.612,4590.660,2358.090,4668.411,2365.237,4674.225,2369.039,4680.345,8106.940,8406.433,7859.040,8370.070,8142.275,8329.571,8042.229,8301.244,4281.282,8266.138,5673.773,8276.619,4196.269,8351.097,4197.200,8345.980,4205.471,8348.396,1881.777,3158.728,3162.551,3039.545,3163.543,3156.122,3160.423,3157.288,3159.539,3038.326,3160.073,3122.689,3160.719,2004.233,3202.444,1994.713,3198.058,1997.113,3193.328,3698.614,3700.783,3729.515,3732.060,3741.551,3743.924,3748.054,3750.164,3692.195,3750.190,3703.347,3750.955,2368.117,3834.127,2360.097,3825.579,2360.630,3821.682,7983.645,8288.427,7973.312,7992.595,7942.237,7944.931,7917.518,7920.066,7772.358,7917.879,7817.858,7899.628,4176.490,7921.389,4178.303,7925.313,4177.013,7921.580,1148.392,3011.636,3104.830,1276.733,3166.351,2913.709,3091.641,1278.279,3181.915,1250.115,3193.448,1261.171,3177.045,1259.532,3206.101,1254.663,3205.655,1260.290,3201.975,3515.652,3635.403,3455.552,3658.271,3544.833,3676.749,1569.261,3773.695,1514.196,3790.429,1515.767,3788.252,1515.535,3817.501,1517.115,3818.117,1519.974,3822.568,7589.150,7871.870,7370.562,7832.701,7385.014,7813.995,3995.555,7875.675,3780.521,7883.218,3800.719,7895.616,3799.938,7936.916,3787.933,7935.891,3797.525,7938.718,1148.465,2325.459,2378.167,1272.943,2403.290,2306.067,2376.491,1237.286,2390.435,1242.550,2409.156,1233.357,2392.305,1230.783,2417.482,1230.611,2421.087,1230.114,2417.276,2838.134,2926.614,2881.858,2925.281,2838.819,2922.984,1547.851,2942.647,1520.363,2936.308,1520.436,2934.164,1516.436,2955.430,1504.769,2947.736,1515.082,2958.316,7308.965,7378.228,7166.116,7357.282,7203.191,7366.992,3923.511,7368.956,3765.537,7370.969,3820.688,7364.677,3726.841,7403.671,3720.059,7400.416,3734.376,7414.204
24,1646.423,3191.043,3401.045,1870.798,3421.415,3251.932,3392.143,3266.072,3400.239,1784.096,3450.518,1975.298,3438.452,1775.663,3496.885,1807.737,3560.382,1777.132,3499.164,3685.379,3902.994,3716.520,3882.296,3755.845,3863.998,3690.872,3896.414,2055.498,3993.945,2372.552,4016.776,2074.786,4088.507,2070.619,4089.165,2076.931,4089.414,6541.770,6932.132,6508.887,6914.124,6480.825,6896.598,6573.225,6896.208,3509.263,6838.577,4599.912,6862.543,3502.456,6895.064,3507.455,6909.799,3493.698,6890.458,1662.034,2957.529,2963.834,2906.732,2950.872,2945.531,2947.824,2959.693,2962.759,2853.783,2951.474,2908.454,2950.348,1795.094,3003.828,1791.759,2998.989,1791.875,2998.837,3445.189,3451.251,3443.738,3446.150,3445.412,3447.601,3441.909,3444.002,3403.094,3454.726,3439.423,3468.717,2091.053,3509.808,2088.099,3510.511,2095.221,3513.474,6668.784,6952.341,6683.722,6698.584,6634.282,6636.792,6614.734,6619.323,6475.134,6591.376,6451.147,6593.364,3482.685,6623.166,3477.048,6615.717,3486.197,6624.901,1146.100,2808.387,2890.644,1281.284,2951.472,2765.051,2888.762,1284.077,2966.350,1259.816,2965.082,1266.837,2972.349,1263.945,2998.449,1260.875,2999.395,1258.874,2996.144,3233.600,3364.043,3241.456,3372.206,3233.254,3375.073,1473.923,3444.157,1466.642,3459.490,1470.965,3455.800,1473.005,3491.836,1466.901,3497.378,1464.718,3499.591,6213.919,6589.313,6118.297,6595.948,6086.786,6551.246,3336.477,6586.479,3253.185,6590.760,3264.008,6589.397,3271.100,6641.650,3263.888,6634.378,3251.656,6621.362,1146.031,2339.355,2372.079,1270.829,2401.622,2308.214,2372.631,1260.767,2395.029,1231.619,2406.269,1231.825,2389.313,1229.605,2415.463,1228.630,2416.008,1229.271,2415.865,2694.888,2826.786,2742.412,2821.900,2721.996,2829.929,1503.221,2844.821,1478.804,2852.968,1495.923,2849.653,1464.964,2870.832,1459.957,2868.593,1464.595,2869.051,6114.626,6273.978,6082.612,6253.089,6058.635,6260.170,3335.128,6287.710,3260.309,6269.130,3272.836,6269.842,3226.935,6314.840,3222.711,6312.491,3212.743,6302.059
28,1415.024,2863.651,2955.906,1600.584,2975.825,2871.390,2947.362,2867.682,2947.123,1556.177,3004.922,1767.231,3007.572,1556.828,3054.391,1552.545,3051.886,1555.562,3053.302,3315.351,3399.665,3340.867,3391.899,3374.879,3408.906,3390.890,3443.906,1812.285,3505.263,2117.002,3484.427,1826.332,3570.705,1822.393,3580.617,1836.681,3600.004,5311.798,5610.799,5331.126,5559.573,5425.356,5561.134,5417.649,5551.095,2853.696,5553.398,3713.269,5544.130,2840.543,5630.658,2834.251,5622.525,2839.536,5616.098,1493.399,2753.863,2755.991,1624.910,2776.093,2706.885,2736.046,2739.232,2741.629,1610.647,2777.600,2682.249,2746.440,1560.580,2783.430,1558.826,2786.109,1557.379,2782.968,3113.357,3127.323,3110.148,3112.686,3109.732,3112.224,3122.860,3125.050,3045.975,3147.202,3100.183,3145.380,1805.344,3215.403,1815.265,3226.255,1817.288,3229.420,5587.389,5813.854,5594.577,5597.042,5582.164,5583.884,5579.583,5581.793,5463.880,5577.491,5525.849,5587.843,2834.704,5622.459,2836.887,5625.800,2822.643,5609.842,1144.906,2617.489,2690.322,1311.161,2725.818,2581.726,2678.393,1300.381,2762.556,1277.608,2764.934,1276.602,2761.554,1283.018,2797.602,1278.097,2793.866,1278.379,2798.049,2940.107,3045.359,2893.222,3045.886,2912.278,3033.959,1480.826,3124.160,1455.566,3132.562,1455.240,3143.197,1452.899,3178.326,1450.865,3199.665,1450.982,3206.676,5216.907,5507.393,5173.060,5498.877,5255.716,5482.449,2848.791,5556.499,2837.410,5573.251,2833.964,5568.788,2824.300,5606.519,2828.078,5613.618,2822.476,5602.642,1146.442,2341.261,2374.716,1270.383,2403.108,2305.790,2370.209,1244.231,2389.289,1233.713,2404.400,1231.976,2390.870,1231.704,2415.183,1227.134,2414.947,1227.796,2413.169,2757.762,2800.417,2758.214,2798.004,2748.086,2800.957,1504.963,2823.124,1460.717,2823.853,1470.235,2822.702,1452.422,2849.381,1448.440,2849.634,1451.922,2850.191,5383.349,5459.448,5270.233,5458.444,5190.542,5455.464,2885.936,5469.131,2787.296,5471.899,2809.669,5469.529,2777.684,5504.620,2776.606,5504.151,2779.265,5508.344
32,1223.316,2496.514,2548.694,1402.925,2593.924,2500.069,2579.038,2545.833,2597.829,1388.968,2664.542,1612.898,2662.989,1391.965,2725.247,1389.836,2726.446,1396.211,2734.775,2799.009,2866.651,2763.598,2843.442,2761.925,2844.944,2770.847,2876.959,1533.009,2956.832,1841.042,2948.129,1556.292,3056.627,1556.608,3067.646,1562.046,3069.712,4222.185,4426.845,4284.187,4447.040,4259.857,4431.289,4236.746,4434.508,2321.336,4456.861,2984.604,4426.483,2287.925,4499.160,2284.031,4494.955,2290.706,4495.665,1277.684,2570.896,2574.643,1518.362,2590.339,2540.361,2555.659,2555.566,2557.656,1671.929,2588.209,2523.640,2574.887,1378.729,2619.751,1380.090,2622.530,1385.159,2628.365,2859.078,2861.251,2856.154,2860.841,2867.647,2870.493,2872.740,2880.525,2853.072,2903.464,2862.140,2900.854,1564.268,2918.097,1561.473,2917.267,1562.300,2917.398,4733.346,4907.961,4717.010,4719.304,4722.903,4725.437,4702.369,4704.646,4611.144,4712.278,4657.555,4704.762,2275.565,4730.720,2269.063,4726.751,2274.582,4728.671,1145.941,2458.904,2513.937,1361.123,2542.168,2440.396,2518.878,1324.079,2596.531,1296.364,2605.130,1297.462,2605.265,1300.308,2631.725,1291.595,2631.442,1288.304,2618.618,2657.249,2764.228,2647.401,2767.288,2685.170,2764.189,1461.186,2860.866,1448.186,2879.382,1446.451,2883.821,1452.296,2918.731,1448.780,2922.405,1447.990,2941.767,4457.315,4636.326,4431.253,4615.716,4362.093,4618.688,2545.472,4706.686,2509.797,4693.963,2509.320,4694.524,2512.153,4739.155,2522.837,4758.406,2517.906,4753.867,1146.533,2326.222,2374.027,1251.319,2399.234,2314.480,2374.895,1245.723,2390.209,1234.204,2407.033,1233.408,2387.726,1231.112,2412.761,1227.221,2413.148,1228.098,2413.197,2714.698,2798.706,2738.981,2797.680,2705.466,2795.760,1515.116,2827.556,1452.930,2820.216,1465.460,2818.912,1450.062,2849.852,1451.794,2851.290,1447.513,2846.200,4696.826,4816.197,4637.182,4810.720,4718.981,4817.332,2531.659,4824.549,2509.489,4835.089,2460.724,4816.354,2454.869,4858.331,2454.415,4859.309,2469.914,4872.610
36,1207.464,2444.945,2515.087,1385.672,2562.045,2448.471,2543.074,2514.411,2566.698,1352.474,2603.573,1534.882,2586.220,1351.946,2632.343,1347.503,2638.343,1351.364,2645.115,2782.482,2861.795,2814.467,2874.582,2841.227,2887.523,2800.873,2885.924,1539.722,2959.530,1780.679,2925.717,1538.285,3012.012,1533.979,3007.246,1538.806,3016.691,3928.977,4044.853,3917.121,4053.376,3869.464,4050.329,3884.313,4048.486,2107.686,4067.879,2659.289,4059.713,2103.955,4134.686,2103.961,4136.763,2118.792,4148.027,1282.083,2563.515,2565.868,1505.343,2598.248,2503.225,2548.631,2554.757,2556.864,1490.086,2603.439,2512.918,2568.291,1366.147,2615.584,1364.962,2623.487,1372.424,2622.460,2840.470,2842.857,2834.866,2841.654,2853.343,2855.431,2846.081,2848.807,2858.853,2880.725,2845.198,2883.509,1526.815,2909.179,1537.714,2922.652,1535.797,2919.889,4261.286,4434.500,4258.890,4261.258,4257.430,4260.544,4251.761,4254.968,4149.461,4241.834,4151.117,4242.057,2083.964,4286.957,2085.072,4288.139,2079.752,4282.188,1143.814,2434.433,2495.803,1467.310,2509.817,2436.467,2502.754,1315.849,2585.551,1297.016,2580.589,1305.037,2591.145,1300.803,2613.936,1305.228,2625.623,1303.949,2626.036,2670.804,2741.921,2645.561,2769.040,2649.884,2763.414,1468.208,2849.711,1448.399,2868.745,1447.808,2870.044,1445.181,2908.958,1447.279,2914.385,1447.971,2898.290,3984.048,4204.792,4033.013,4163.051,3895.198,4156.813,2326.635,4262.274,2291.519,4271.557,2299.697,4273.427,2317.307,4328.818,2308.529,4325.346,2307.816,4325.322,1144.221,2326.026,2375.130,1256.093,2397.882,2308.963,2367.815,1242.646,2384.496,1233.992,2393.895,1240.945,2383.312,1226.850,2409.578,1227.863,2418.362,1228.767,2412.999,2722.427,2789.656,2693.372,2786.415,2717.605,2787.056,1475.417,2817.898,1480.300,2820.637,1460.975,2818.984,1449.752,2848.115,1452.620,2852.937,1449.365,2850.581,4193.849,4338.569,4215.628,4335.912,4215.780,4338.512,2320.161,4359.710,2271.692,4374.757,2271.997,4362.179,2246.546,4399.505,2244.548,4394.978,2246.876,4401.707
40,1027.583,2116.412,2146.641,1168.497,2203.905,2082.272,2159.741,2146.590,2185.181,1175.002,2248.650,1345.389,2248.846,1183.611,2313.956,1185.703,2320.686,1177.355,2300.496,2305.483,2331.901,2141.470,2325.951,2271.404,2342.401,2300.754,2349.860,1278.261,2506.839,1495.382,2495.690,1286.040,2539.318,1294.029,2573.839,1302.156,2581.682,3021.942,3124.560,3086.545,3125.424,3029.522,3128.216,3058.018,3129.413,1640.203,3153.953,2062.425,3152.365,1639.387,3218.891,1640.286,3222.107,1640.698,3220.161,1109.489,2410.858,2414.862,1260.816,2459.332,2292.661,2371.106,2359.164,2361.358,1224.788,2443.912,2258.616,2375.685,1149.908,2418.584,1171.383,2459.837,1159.995,2432.655,2573.726,2575.674,1568.675,2600.367,2544.382,2567.548,2570.532,2572.609,1813.014,2608.930,2526.496,2590.732,1252.994,2653.647,1250.259,2653.848,1249.309,2652.465,3621.700,3751.688,3622.954,3625.157,3629.629,3637.122,3619.636,3625.816,3568.458,3619.733,3587.346,3618.117,1609.052,3641.701,1610.184,3646.096,1617.716,3647.499,1146.628,2282.685,2327.681,1822.407,2333.209,2251.616,2314.527,1332.256,2391.860,1322.382,2404.489,1317.537,2400.411,1323.125,2427.601,1322.416,2419.589,1324.707,2419.455,2342.290,2490.512,2323.905,2496.664,2376.779,2504.888,1461.670,2579.185,1445.750,2590.835,1445.421,2593.924,1445.262,2623.945,1443.079,2627.804,1449.186,2637.218,3444.869,3547.364,3408.888,3545.878,3350.775,3551.236,2116.632,3632.324,2096.175,3632.161,2090.678,3613.772,2101.300,3654.955,2095.723,3655.291,2091.868,3647.539,1146.255,2325.238,2373.299,1267.845,2398.643,2289.865,2372.639,1240.554,2389.335,1239.655,2397.524,1226.609,2388.734,1234.867,2420.807,1228.206,2415.149,1228.751,2415.495,2604.145,2647.880,2616.486,2647.279,2601.224,2646.125,1461.265,2671.653,1457.247,2672.843,1461.669,2668.309,1439.035,2694.984,1441.182,2696.502,1441.395,2695.575,3892.670,3928.260,3807.795,3926.702,3793.382,3925.746,2073.024,3945.717,2041.294,3947.407,2058.985,3955.074,2052.930,3992.206,2034.212,3976.610,2043.743,3984.067
