2,52.826,8.205,77.053,76.897,289.981,290.598,9.415,9.358
4,30.591,8.183,44.031,44.168,153.857,153.287,8.771,8.709
6,23.032,8.046,32.853,32.782,107.130,107.553,8.490,8.408
8,19.519,8.052,27.120,27.109,83.823,83.608,8.425,8.390
10,17.118,8.021,23.529,23.515,69.544,69.602,8.327,8.269
12,15.909,8.212,21.386,21.521,61.660,61.450,8.275,8.291
14,14.668,8.123,19.729,20.186,57.268,57.346,8.379,8.361
16,13.901,8.151,18.802,19.339,56.704,56.557,8.353,8.307
18,13.107,8.501,18.617,18.824,56.512,56.383,8.167,8.338
20,12.798,8.119,17.759,18.580,56.337,56.420,8.264,8.282
22,12.794,8.187,17.630,18.518,56.095,56.291,8.223,8.177
24,12.560,8.273,17.491,18.353,56.110,56.311,8.219,8.187
26,13.240,8.680,17.945,18.653,56.224,56.235,8.256,8.227
28,11.503,8.105,17.037,17.814,56.246,56.662,8.259,8.239
30,11.377,8.214,17.078,17.767,56.268,56.257,8.266,8.252
32,10.835,7.842,16.598,17.463,55.809,55.747,7.882,7.872
34,11.065,8.242,17.016,17.660,56.183,56.199,8.303,8.257
36,10.798,8.214,17.196,17.704,56.199,56.100,8.050,8.046
38,10.742,8.108,16.957,17.512,56.044,56.074,8.162,8.148
40,10.672,8.208,17.021,17.500,56.138,56.169,8.285,8.236
42,10.428,7.999,16.746,17.274,56.450,56.353,8.101,8.065
44,10.387,8.057,16.868,17.229,56.802,56.372,8.148,8.114
46,10.183,7.972,16.704,17.056,56.692,56.680,8.066,8.058
48,10.220,8.053,16.673,17.129,56.580,56.764,8.125,8.091
50,10.409,8.201,16.725,17.154,56.874,56.842,8.181,8.176
52,10.915,8.532,16.777,17.358,56.750,56.886,8.235,8.230
54,10.413,8.261,16.574,17.030,56.735,56.661,8.033,8.011
56,11.168,8.718,16.871,17.395,56.893,56.734,8.201,8.202
58,9.844,7.933,16.115,16.894,56.608,56.537,8.012,8.013
60,9.887,8.018,16.042,16.873,56.664,56.713,8.070,8.040
62,9.914,8.059,16.208,16.885,56.675,56.950,8.120,8.069
64,9.750,7.991,16.064,16.828,56.478,56.464,8.107,8.031
66,9.755,7.974,16.027,16.722,56.464,56.429,8.018,8.011
68,9.842,8.120,16.194,16.822,56.763,56.356,8.016,7.969
