2,17207.792,7356.277,198.327,88.077,776.476,883.902,139.080,20.679
4,8729.353,3757.070,114.237,51.264,407.403,441.090,78.336,16.204
6,5953.431,2558.952,83.868,38.866,280.011,300.777,58.319,15.070
8,4482.601,1960.754,69.012,32.379,216.655,230.841,48.406,14.015
10,3603.584,1593.414,59.625,28.337,177.688,187.658,42.147,14.143
12,3131.177,1362.750,53.476,25.785,152.073,160.750,38.378,14.146
14,2718.924,1231.189,49.211,24.007,133.153,139.174,35.272,14.021
16,2301.903,1171.966,45.021,22.757,118.675,123.733,33.117,13.038
18,2077.297,1152.517,42.096,22.542,107.703,111.834,31.180,13.021
20,1860.876,1147.416,40.319,22.625,99.394,103.023,30.072,13.070
22,1838.121,1144.747,37.979,22.328,91.614,94.958,28.599,13.023
24,1635.432,1145.041,37.014,22.757,85.729,89.175,27.819,13.314
26,1617.218,1144.521,34.972,22.457,80.139,82.920,26.464,13.081
28,1430.577,1144.106,34.130,22.545,75.967,78.247,25.981,13.166
30,1414.315,1143.285,32.421,22.053,71.771,73.678,24.678,12.564
32,1237.697,1144.855,32.444,22.691,68.868,70.569,24.547,13.116
34,1231.618,1143.814,31.892,22.596,65.946,67.564,24.092,12.965
36,1225.215,1143.790,30.853,22.615,63.767,65.180,23.790,13.143
38,1218.208,1142.761,30.091,22.279,61.480,62.049,23.137,12.811
40,1048.821,1144.969,30.125,22.389,60.181,60.579,22.901,13.040
42,1039.026,1142.595,29.172,22.020,58.663,58.360,22.236,12.612
44,1035.848,1143.447,29.549,22.627,57.875,56.781,22.395,13.575
46,1032.717,1145.011,29.309,22.535,56.720,54.991,21.838,13.743
48,1028.467,1145.852,28.923,22.548,55.972,53.588,21.494,13.189
50,1026.723,1144.999,29.407,23.001,55.653,52.988,21.671,13.306
52,1024.173,1145.814,28.820,22.790,54.894,51.272,21.161,13.069
54,854.375,1145.898,28.642,22.715,54.691,50.023,20.990,13.459
56,851.577,1143.751,28.776,22.698,54.523,49.247,20.553,12.999
58,848.138,1143.301,28.777,22.695,54.570,48.878,20.223,13.181
60,846.994,1142.651,28.770,22.182,54.086,47.800,19.657,12.696
62,843.154,1144.596,28.538,22.393,54.101,47.026,19.566,12.775
64,839.426,1142.481,28.210,22.176,53.970,46.078,19.608,13.152
66,841.402,1143.170,28.519,22.350,53.995,45.518,19.666,12.942
68,842.321,1144.289,29.064,22.661,54.636,45.353,19.992,13.398
