2,18305.241,10950.254,18505.404,11002.435
4,9289.485,5530.064,9288.792,5530.003
6,6218.533,3734.095,6217.857,3733.290
8,4683.500,2794.926,4684.022,2795.546
10,3760.603,2277.678,3760.359,2277.897
12,3145.660,1936.164,3145.458,1935.645
14,2708.147,1679.377,2718.065,1692.824
16,2395.946,1438.909,2396.069,1439.150
18,2137.736,1348.631,2137.610,1348.360
20,1934.245,1177.725,1934.137,1178.040
22,1765.462,1093.317,1768.418,1093.136
24,1737.142,1115.100,1692.606,1049.624
26,1527.930,927.500,1522.757,924.275
28,1430.307,918.669,1435.510,919.684
30,1350.039,847.769,1354.223,847.844
32,1288.538,775.259,1293.552,776.395
34,1232.855,772.058,1236.766,772.528
36,1177.682,766.994,1179.659,768.253
38,1131.656,699.874,1135.583,700.390
40,1086.348,696.433,1090.660,698.235
42,1047.781,694.333,1052.100,694.984
44,1019.236,627.391,1023.813,629.720
46,987.095,626.793,989.759,629.182
48,957.594,625.945,961.583,628.870
50,932.157,622.463,936.101,625.213
52,908.418,563.040,912.661,561.980
54,886.749,560.414,889.355,559.863
56,871.162,561.299,871.541,562.430
58,847.503,565.061,852.094,564.094
60,832.469,568.771,839.873,567.167
62,814.972,574.589,821.958,569.698
64,800.508,511.631,805.281,505.996
66,791.518,507.590,797.578,503.745
68,781.946,508.069,787.130,507.359
